"fish_sample_id","impoundment_code","gear_description","units_of_effort","year"
"28210","PTSA","GILL NET-CORE PANEL","24.00000","2017"
"27838","MESL","GILL NET-CORE PANEL","17.00000","2017"
"27837","MESL","GILL NET-CORE PANEL","17.00000","2017"
"27803","CASL","GILL NET-CORE PANEL","19.00000","2017"
"27802","CASL","GILL NET-CORE PANEL","18.00000","2017"
"27801","CASL","GILL NET-CORE PANEL","18.00000","2017"
"27800","CASL","GILL NET-CORE PANEL","18.00000","2017"
"27799","CASL","GILL NET-CORE PANEL","17.00000","2017"
"27798","CASL","GILL NET-CORE PANEL","17.00000","2017"
"27797","CASL","GILL NET-CORE PANEL","17.00000","2017"
"27796","CASL","GILL NET-CORE PANEL","17.00000","2017"
